inspection_score,inspection_type,violation_id,violation_description,risk_category
94,Routine - Unscheduled,64805_20170105_103120,Moderate risk food holding temperature,Moderate Risk
81,Routine - Unscheduled,999_20160503_103133,Foods not protected from contamination,Moderate Risk
87,Routine - Unscheduled,5268_20160815_103102,Unclean hands or improper use of gloves,High Risk
90,Routine - Unscheduled,79829_20161207_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,38179_20160517_103120,Moderate risk food holding temperature,Moderate Risk
79,Routine - Unscheduled,36673_20160901_103143,Inadequate warewashing facilities or equipment,Low Risk
92,Routine - Unscheduled,73_20160927_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
72,Routine - Unscheduled,3838_20180222_103144,Unapproved or unmaintained equipment or utensils,Low Risk
84,Routine - Unscheduled,17947_20160510_103133,Foods not protected from contamination,Moderate Risk
96,Routine - Unscheduled,81971_20180905_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,4874_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,66255_20161206_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,83553_20160928_103120,Moderate risk food holding temperature,Moderate Risk
85,Routine - Unscheduled,140_20160414_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
70,Routine - Unscheduled,6654_20160121_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,60518_20160511_103132,Improper thawing methods,Moderate Risk
94,Routine - Unscheduled,79753_20161014_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,79829_20161207_103142,Unclean nonfood contact surfaces,Low Risk
83,Routine - Unscheduled,67985_20160628_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
87,Routine - Unscheduled,66999_20160607_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
84,Routine - Unscheduled,1641_20160812_103145,Improper storage of equipment utensils or linens,Low Risk
86,Routine - Unscheduled,60334_20170510_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,32862_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
96,Routine - Unscheduled,88433_20161118_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
79,Routine - Unscheduled,69486_20180830_103147,Inadequate ventilation or lighting,Low Risk
82,Routine - Unscheduled,74922_20160430_103150,Improper or defective plumbing,Low Risk
90,Routine - Unscheduled,78756_20160519_103157,Food safety certificate or food handler card not available,Low Risk
83,Routine - Unscheduled,62900_20161017_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
85,Routine - Unscheduled,39053_20160812_103157,Food safety certificate or food handler card not available,Low Risk
90,Routine - Unscheduled,70225_20160223_103161,Low risk vermin infestation,Low Risk
90,Routine - Unscheduled,16349_20180227_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,5033_20170104_103147,Inadequate ventilation or lighting,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,68254_20160628_103145,Improper storage of equipment utensils or linens,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,76685_20171208_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
88,Routine - Unscheduled,2249_20171204_103144,Unapproved or unmaintained equipment or utensils,Low Risk
94,Routine - Unscheduled,5853_20180227_103147,Inadequate ventilation or lighting,Low Risk
90,Routine - Unscheduled,38798_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,60823_20171113_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,4797_20171130_103132,Improper thawing methods,Moderate Risk
94,Routine - Unscheduled,60555_20160518_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
57,Routine - Unscheduled,1843_20160216_103102,Unclean hands or improper use of gloves,High Risk
90,Routine - Unscheduled,3429_20161202_103130,Inadequate sewage or wastewater disposal,Moderate Risk
92,Routine - Unscheduled,1579_20171211_103120,Moderate risk food holding temperature,Moderate Risk
77,Routine - Unscheduled,59153_20161020_103139,Improper food storage,Low Risk
96,Routine - Unscheduled,37462_20160520_103120,Moderate risk food holding temperature,Moderate Risk
98,Routine - Unscheduled,6863_20160328_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,85696_20180511_103120,Moderate risk food holding temperature,Moderate Risk
84,Routine - Unscheduled,88340_20160811_103139,Improper food storage,Low Risk
81,Routine - Unscheduled,999_20160503_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
92,Routine - Unscheduled,70459_20151202_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,19416_20180718_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
77,Routine - Unscheduled,85714_20161205_103133,Foods not protected from contamination,Moderate Risk
94,Routine - Unscheduled,65692_20180511_103156,Permit license or inspection report not posted,Low Risk
84,Routine - Unscheduled,81328_20171208_103114,High risk vermin infestation,High Risk
90,Routine - Unscheduled,61856_20160413_103156,Permit license or inspection report not posted,Low Risk
96,Routine - Unscheduled,7779_20180508_103154,Unclean or degraded floors walls or ceilings,Low Risk
63,Routine - Unscheduled,2110_20160906_103150,Improper or defective plumbing,Low Risk
90,Routine - Unscheduled,73998_20180827_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,78756_20160519_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85,Routine - Unscheduled,78113_20180509_103102,Unclean hands or improper use of gloves,High Risk
82,Routine - Unscheduled,13814_20160930_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86,Routine - Unscheduled,4804_20161206_103150,Improper or defective plumbing,Low Risk
92,Routine - Unscheduled,2724_20160929_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
96,Routine - Unscheduled,1434_20161205_103141,Improper food labeling or menu misrepresentation,Low Risk
86,Routine - Unscheduled,1754_20161202_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,3328_20160510_103161,Low risk vermin infestation,Low Risk
63,Routine - Unscheduled,2110_20160906_103120,Moderate risk food holding temperature,Moderate Risk
91,Routine - Unscheduled,5841_20160506_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,3458_20180724_103143,Inadequate warewashing facilities or equipment,Low Risk
94,Routine - Unscheduled,4801_20161110_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
96,Routine - Unscheduled,82538_20180222_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,67567_20170104_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
96,Routine - Unscheduled,3476_20180226_103139,Improper food storage,Low Risk
98,Routine - Unscheduled,7744_20160809_103144,Unapproved or unmaintained equipment or utensils,Low Risk
75,Routine - Unscheduled,32671_20180508_103154,Unclean or degraded floors walls or ceilings,Low Risk
93,Routine - Unscheduled,32579_20180831_103109,Unclean or unsanitary food contact surfaces,High Risk
98,Routine - Unscheduled,9869_20160520_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,65271_20180516_103129,Insufficient hot water or running water,Moderate Risk
90,Routine - Unscheduled,82105_20160812_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
83,Routine - Unscheduled,75530_20180516_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
98,Routine - Unscheduled,5990_20160930_103157,Food safety certificate or food handler card not available,Low Risk
77,Routine - Unscheduled,59153_20161020_103129,Insufficient hot water or running water,Moderate Risk
88,Routine - Unscheduled,5016_20171208_103132,Improper thawing methods,Moderate Risk
69,Routine - Unscheduled,69618_20171213_103139,Improper food storage,Low Risk
75,Routine - Unscheduled,62064_20160411_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
87,Routine - Unscheduled,74237_20180717_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
79,Routine - Unscheduled,91911_20180514_103144,Unapproved or unmaintained equipment or utensils,Low Risk
85,Routine - Unscheduled,140_20160414_103156,Permit license or inspection report not posted,Low Risk
85,Routine - Unscheduled,69351_20171207_103142,Unclean nonfood contact surfaces,Low Risk
86,Routine - Unscheduled,18357_20161229_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
83,Routine - Unscheduled,3267_20180510_103147,Inadequate ventilation or lighting,Low Risk
82,Routine - Unscheduled,3031_20160929_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
86,Routine - Unscheduled,65580_20160511_103118,Employee eating or smoking,Moderate Risk
88,Routine - Unscheduled,37882_20160322_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,33700_20160412_103145,Improper storage of equipment utensils or linens,Low Risk
93,Routine - Unscheduled,5940_20170925_103114,High risk vermin infestation,High Risk
90,Routine - Unscheduled,38798_20160518_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,4804_20161206_103132,Improper thawing methods,Moderate Risk
88,Routine - Unscheduled,3253_20160413_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
84,Routine - Unscheduled,17947_20160510_103161,Low risk vermin infestation,Low Risk
96,Routine - Unscheduled,85333_20151201_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
71,Routine - Unscheduled,58673_20160412_103145,Improper storage of equipment utensils or linens,Low Risk
98,Routine - Unscheduled,1399_20160503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
69,Routine - Unscheduled,69618_20171213_103114,High risk vermin infestation,High Risk
85,Routine - Unscheduled,3189_20160510_103157,Food safety certificate or food handler card not available,Low Risk
91,Routine - Unscheduled,86116_20161229_103156,Permit license or inspection report not posted,Low Risk
73,Routine - Unscheduled,81309_20160219_103103,High risk food holding temperature,High Risk
85,Routine - Unscheduled,3405_20171212_103109,Unclean or unsanitary food contact surfaces,High Risk
94,Routine - Unscheduled,60555_20160518_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,61_20180830_103150,Improper or defective plumbing,Low Risk
85,Routine - Unscheduled,26340_20180514_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,1922_20161012_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86,Routine - Unscheduled,2369_20160324_103120,Moderate risk food holding temperature,Moderate Risk
85,Routine - Unscheduled,3189_20160510_103144,Unapproved or unmaintained equipment or utensils,Low Risk
87,Routine - Unscheduled,35855_20170105_103132,Improper thawing methods,Moderate Risk
78,Routine - Unscheduled,4917_20160906_103142,Unclean nonfood contact surfaces,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
96,Routine - Unscheduled,94635_20180911_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,94187_20180510_103132,Improper thawing methods,Moderate Risk
65,Routine - Unscheduled,2542_20171208_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
71,Routine - Unscheduled,58673_20160412_103129,Insufficient hot water or running water,Moderate Risk
90,Routine - Unscheduled,85185_20180516_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
79,Routine - Unscheduled,36673_20160901_103138,Improper storage use or identification of toxic substances,Low Risk
72,Routine - Unscheduled,59577_20160502_103154,Unclean or degraded floors walls or ceilings,Low Risk
96,Routine - Unscheduled,4685_20161203_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
