0,Routine - Unscheduled,71065_20171211_103142,Unclean nonfood contact surfaces,89,37.786044,-122.413054
0,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,86,37.76344,-122.478648
Moderate Risk,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,87,37.785643,-122.401192
0,Routine - Unscheduled,59577_20160502_103156,Permit license or inspection report not posted,72,37.784848,-122.406892
Moderate Risk,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,92,37.763403,-122.471582
High Risk,Routine - Unscheduled,27377_20180514_103103,High risk food holding temperature,87,37.784848,-122.406892
Moderate Risk,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,90,37.764788,-122.424462
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.717298,-122.471709
Moderate Risk,Routine - Unscheduled,64176_20180725_103120,Moderate risk food holding temperature,83,37.780523,-122.47358
0,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,86,37.786565,-122.418116
0,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,79,37.786053,-122.418327
0,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,96,37.776494,-122.408562
Moderate Risk,Routine - Unscheduled,70685_20171212_103119,Inadequate and inaccessible handwashing facilities,86,37.729753,-122.40447
High Risk,Routine - Unscheduled,13671_20180227_103102,Unclean hands or improper use of gloves,89,37.776491,-122.394175
Moderate Risk,Routine - Unscheduled,4907_20170105_103131,Moderate risk vermin infestation,80,37.765262,-122.41523
Moderate Risk,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,88,37.783758,-122.482885
Moderate Risk,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,92,37.748164,-122.418241
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.808494,-122.412
Moderate Risk,Routine - Unscheduled,69282_20160413_103119,Inadequate and inaccessible handwashing facilities,76,37.754132,-122.480058
0,Routine - Unscheduled,18805_20160607_103154,Unclean or degraded floors walls or ceilings,94,37.797144,-122.437224
High Risk,Routine - Unscheduled,38788_20180907_103109,Unclean or unsanitary food contact surfaces,89,37.788878,-122.434283
Moderate Risk,Routine - Unscheduled,3211_20160815_103133,Foods not protected from contamination,83,37.763503,-122.477748
0,Routine - Unscheduled,38798_20160518_103145,Improper storage of equipment utensils or linens,90,37.731503,-122.45237
Moderate Risk,Routine - Unscheduled,3253_20160413_103132,Improper thawing methods,88,37.711329,-122.471316
High Risk,Routine - Unscheduled,1977_20160328_103105,Improper cooling methods,87,37.783004,-122.462539
0,Routine - Unscheduled,36673_20160901_103161,Low risk vermin infestation,79,37.786197,-122.417614
High Risk,Routine - Unscheduled,65382_20180905_103103,High risk food holding temperature,81,37.763983,-122.46709
0,Routine - Unscheduled,68295_20160928_103151,Inadequate or unsanitary refuse containers or area or no garbage service,96,37.787096,-122.404274
Moderate Risk,Routine - Unscheduled,18826_20160926_103119,Inadequate and inaccessible handwashing facilities,83,37.789074,-122.433783
High Risk,Routine - Unscheduled,2134_20161109_103103,High risk food holding temperature,87,37.781567,-122.405059
0,Routine - Unscheduled,36673_20160901_103148,No thermometers or uncalibrated thermometers,79,37.786197,-122.417614
0,Routine - Unscheduled,547_20160412_103142,Unclean nonfood contact surfaces,98,37.775728,-122.497522
Moderate Risk,Routine - Unscheduled,917_20160902_103120,Moderate risk food holding temperature,96,37.787927,-122.406607
High Risk,Routine - Unscheduled,58673_20160412_103114,High risk vermin infestation,71,37.796973,-122.408504
Moderate Risk,Routine - Unscheduled,2544_20161205_103133,Foods not protected from contamination,81,37.777253,-122.464359
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.777603,-122.49649
0,Routine - Unscheduled,60544_20160929_103157,Food safety certificate or food handler card not available,92,37.73473,-122.433823
0,Routine - Unscheduled,3241_20160906_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,86,37.76344,-122.478648
0,Routine - Unscheduled,67985_20160628_103156,Permit license or inspection report not posted,83,37.774722,-122.406761
0,Routine - Unscheduled,62578_20171207_103145,Improper storage of equipment utensils or linens,66,37.794193,-122.406677
High Risk,Routine - Unscheduled,4960_20160413_103114,High risk vermin infestation,71,37.753583,-122.490839
0,Routine - Unscheduled,140_20160414_103154,Unclean or degraded floors walls or ceilings,85,37.793268,-122.400323
High Risk,Routine - Unscheduled,286_20160607_103103,High risk food holding temperature,72,37.784303,-122.409647
Moderate Risk,Routine - Unscheduled,60334_20180426_103133,Foods not protected from contamination,80,37.727239,-122.432799
Moderate Risk,Routine - Unscheduled,69181_20160330_103120,Moderate risk food holding temperature,92,37.760777,-122.421505
0,Routine - Unscheduled,7689_20160811_103148,No thermometers or uncalibrated thermometers,98,37.723133,-122.452707
0,Routine - Unscheduled,5016_20171208_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,88,37.795202,-122.413169
0,Routine - Unscheduled,58628_20160413_103139,Improper food storage,87,37.80824,-122.410189
Moderate Risk,Routine - Unscheduled,5913_20160906_103131,Moderate risk vermin infestation,92,37.762074,-122.416107
High Risk,Routine - Unscheduled,2755_20161205_103114,High risk vermin infestation,85,37.787364,-122.45299
0,Routine - Unscheduled,2292_20160414_103154,Unclean or degraded floors walls or ceilings,90,37.753638,-122.490712
0,Routine - Unscheduled,65873_20171208_103156,Permit license or inspection report not posted,91,37.807649,-122.420744
0,Routine - Unscheduled,35852_20161205_103154,Unclean or degraded floors walls or ceilings,94,37.807358,-122.415294
0,Routine - Unscheduled,3241_20160906_103144,Unapproved or unmaintained equipment or utensils,86,37.76344,-122.478648
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.720877,-122.477651
0,Routine - Unscheduled,5219_20180511_103139,Improper food storage,94,37.772473,-122.409879
0,Routine - Unscheduled,59002_20180515_103138,Improper storage use or identification of toxic substances,92,37.796152,-122.405255
0,Routine - Unscheduled,62064_20160411_103150,Improper or defective plumbing,75,37.784303,-122.409647
Moderate Risk,Routine - Unscheduled,13814_20160930_103124,Inadequately cleaned or sanitized food contact surfaces,82,37.774722,-122.406761
Moderate Risk,Routine - Unscheduled,65873_20160815_103119,Inadequate and inaccessible handwashing facilities,83,37.807649,-122.420744
Moderate Risk,Routine - Unscheduled,2061_20180223_103133,Foods not protected from contamination,94,37.800788,-122.428894
0,Routine - Unscheduled,66990_20160601_103138,Improper storage use or identification of toxic substances,86,37.782103,-122.482089
0,Routine - Unscheduled,69282_20160413_103142,Unclean nonfood contact surfaces,76,37.754132,-122.480058
0,Routine - Unscheduled,7610_20171208_103139,Improper food storage,98,37.776098,-122.411712
Moderate Risk,Routine - Unscheduled,63082_20180222_103133,Foods not protected from contamination,87,37.797933,-122.428627
High Risk,Routine - Unscheduled,35855_20170105_103109,Unclean or unsanitary food contact surfaces,87,37.780728,-122.396522
Moderate Risk,Routine - Unscheduled,24279_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,94,37.758941,-122.48591
Moderate Risk,Routine - Unscheduled,3253_20160413_103120,Moderate risk food holding temperature,88,37.711329,-122.471316
0,Routine - Unscheduled,38929_20160114_103156,Permit license or inspection report not posted,88,37.752439,-122.41625
High Risk,Routine - Unscheduled,58850_20160906_103112,No hot water or running water,79,37.786053,-122.418327
Moderate Risk,Routine - Unscheduled,39888_20160929_103120,Moderate risk food holding temperature,94,37.743427,-122.426664
Moderate Risk,Routine - Unscheduled,1970_20161207_103124,Inadequately cleaned or sanitized food contact surfaces,86,37.763468,-122.480646
0,Routine - Unscheduled,4685_20161203_103156,Permit license or inspection report not posted,96,37.714204,-122.469193
0,Routine - Unscheduled,64380_20160414_103147,Inadequate ventilation or lighting,86,37.793338,-122.399583
0,Routine - Unscheduled,37389_20161205_103145,Improper storage of equipment utensils or linens,90,37.805514,-122.411914
0,Routine - Unscheduled,1632_20160810_103154,Unclean or degraded floors walls or ceilings,92,37.748164,-122.418241
0,Routine - Unscheduled,7496_20160518_103142,Unclean nonfood contact surfaces,88,37.808494,-122.412
Moderate Risk,Routine - Unscheduled,1005_20160502_103131,Moderate risk vermin infestation,84,37.748855,-122.418134
0,Routine - Unscheduled,2110_20160906_103143,Inadequate warewashing facilities or equipment,63,37.786143,-122.417617
Moderate Risk,Routine - Unscheduled,64805_20170105_103120,Moderate risk food holding temperature,94,37.777053,-122.416939
Moderate Risk,Routine - Unscheduled,999_20160503_103133,Foods not protected from contamination,81,37.756997,-122.420534
High Risk,Routine - Unscheduled,5268_20160815_103102,Unclean hands or improper use of gloves,87,37.785643,-122.401192
Moderate Risk,Routine - Unscheduled,38179_20160517_103120,Moderate risk food holding temperature,90,37.805643,-122.40529
0,Routine - Unscheduled,36673_20160901_103143,Inadequate warewashing facilities or equipment,79,37.786197,-122.417614
0,Routine - Unscheduled,73_20160927_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,92,37.788932,-122.433895
0,Routine - Unscheduled,3838_20180222_103144,Unapproved or unmaintained equipment or utensils,72,37.764908,-122.422442
Moderate Risk,Routine - Unscheduled,17947_20160510_103133,Foods not protected from contamination,84,37.780278,-122.482311
0,Routine - Unscheduled,4874_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,90,37.752118,-122.422914
Moderate Risk,Routine - Unscheduled,66255_20161206_103124,Inadequately cleaned or sanitized food contact surfaces,86,37.781249,-122.406222
Moderate Risk,Routine - Unscheduled,140_20160414_103119,Inadequate and inaccessible handwashing facilities,85,37.793268,-122.400323
Moderate Risk,Routine - Unscheduled,6654_20160121_103120,Moderate risk food holding temperature,70,37.784598,-122.417757
Moderate Risk,Routine - Unscheduled,60518_20160511_103132,Improper thawing methods,86,37.742743,-122.481749
Moderate Risk,Routine - Unscheduled,67985_20160628_103116,Inadequate food safety knowledge or lack of certified food safety manager,83,37.774722,-122.406761
Moderate Risk,Routine - Unscheduled,66999_20160607_103124,Inadequately cleaned or sanitized food contact surfaces,87,37.800344,-122.439697
0,Routine - Unscheduled,1641_20160812_103145,Improper storage of equipment utensils or linens,84,37.745974,-122.426856
Moderate Risk,Routine - Unscheduled,60334_20170510_103124,Inadequately cleaned or sanitized food contact surfaces,86,37.727239,-122.432799
Moderate Risk,Routine - Unscheduled,32862_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,92,37.800685,-122.43771
Moderate Risk,Routine - Unscheduled,62900_20161017_103116,Inadequate food safety knowledge or lack of certified food safety manager,83,37.788822,-122.434116
0,Routine - Unscheduled,39053_20160812_103157,Food safety certificate or food handler card not available,85,37.787254,-122.400212
0,Routine - Unscheduled,16349_20180227_103157,Food safety certificate or food handler card not available,90,37.752764,-122.409588
0,Routine - Unscheduled,5033_20170104_103147,Inadequate ventilation or lighting,86,37.734619,-122.432379
0,Routine - Unscheduled,68254_20160628_103145,Improper storage of equipment utensils or linens,90,37.776417,-122.438037
0,Routine - Unscheduled,2249_20171204_103144,Unapproved or unmaintained equipment or utensils,88,37.789552,-122.401999
0,Routine - Unscheduled,5853_20180227_103147,Inadequate ventilation or lighting,94,37.780133,-122.445864
Moderate Risk,Routine - Unscheduled,38798_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,90,37.731503,-122.45237
0,Routine - Unscheduled,60823_20171113_103154,Unclean or degraded floors walls or ceilings,92,37.785207,-122.400629
Moderate Risk,Routine - Unscheduled,4797_20171130_103132,Improper thawing methods,86,37.739053,-122.416683
0,Routine - Unscheduled,60555_20160518_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,94,37.720894,-122.478029
High Risk,Routine - Unscheduled,1843_20160216_103102,Unclean hands or improper use of gloves,57,37.796683,-122.410134
Moderate Risk,Routine - Unscheduled,3429_20161202_103130,Inadequate sewage or wastewater disposal,90,37.805758,-122.412774
Moderate Risk,Routine - Unscheduled,1579_20171211_103120,Moderate risk food holding temperature,92,37.802479,-122.411234
0,Routine - Unscheduled,59153_20161020_103139,Improper food storage,77,37.78453,-122.409392
Moderate Risk,Routine - Unscheduled,37462_20160520_103120,Moderate risk food holding temperature,96,37.758941,-122.48591
0,Routine - Unscheduled,6863_20160328_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,98,37.795273,-122.421665
Moderate Risk,Routine - Unscheduled,999_20160503_103116,Inadequate food safety knowledge or lack of certified food safety manager,81,37.756997,-122.420534
0,Routine - Unscheduled,70459_20151202_103144,Unapproved or unmaintained equipment or utensils,92,37.781572,-122.396081
0,Routine - Unscheduled,19416_20180718_103154,Unclean or degraded floors walls or ceilings,96,37.784317,-122.407563
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.74949,-122.43175
0,Routine - Unscheduled,65692_20180511_103156,Permit license or inspection report not posted,94,37.780234,-122.479979
0,Routine - Unscheduled,61856_20160413_103156,Permit license or inspection report not posted,90,37.793424,-122.398168
0,Routine - Unscheduled,7779_20180508_103154,Unclean or degraded floors walls or ceilings,96,37.752922,-122.408285
0,Routine - Unscheduled,2110_20160906_103150,Improper or defective plumbing,63,37.786143,-122.417617
Moderate Risk,Routine - Unscheduled,13814_20160930_103119,Inadequate and inaccessible handwashing facilities,82,37.774722,-122.406761
0,Routine - Unscheduled,4804_20161206_103150,Improper or defective plumbing,86,37.728933,-122.40413
Moderate Risk,Routine - Unscheduled,2724_20160929_103119,Inadequate and inaccessible handwashing facilities,92,37.797443,-122.432537
0,Routine - Unscheduled,1434_20161205_103141,Improper food labeling or menu misrepresentation,96,37.751628,-122.429122
Moderate Risk,Routine - Unscheduled,1754_20161202_103119,Inadequate and inaccessible handwashing facilities,86,37.807167,-122.418936
0,Routine - Unscheduled,3328_20160510_103161,Low risk vermin infestation,92,37.805728,-122.420564
Moderate Risk,Routine - Unscheduled,2110_20160906_103120,Moderate risk food holding temperature,63,37.786143,-122.417617
0,Routine - Unscheduled,5841_20160506_103144,Unapproved or unmaintained equipment or utensils,91,37.763543,-122.476332
0,Routine - Unscheduled,3458_20180724_103143,Inadequate warewashing facilities or equipment,96,37.775833,-122.408915
Moderate Risk,Routine - Unscheduled,4801_20161110_103119,Inadequate and inaccessible handwashing facilities,94,37.72304,-122.436017
Moderate Risk,Routine - Unscheduled,67567_20170104_103124,Inadequately cleaned or sanitized food contact surfaces,94,37.742678,-122.484682
0,Routine - Unscheduled,3476_20180226_103139,Improper food storage,96,37.717659,-122.44005
0,Routine - Unscheduled,7744_20160809_103144,Unapproved or unmaintained equipment or utensils,98,37.731523,-122.45005
0,Routine - Unscheduled,32671_20180508_103154,Unclean or degraded floors walls or ceilings,75,37.752512,-122.415109
High Risk,Routine - Unscheduled,32579_20180831_103109,Unclean or unsanitary food contact surfaces,93,37.780443,-122.475259
0,Routine - Unscheduled,9869_20160520_103154,Unclean or degraded floors walls or ceilings,98,37.758941,-122.48591
Moderate Risk,Routine - Unscheduled,65271_20180516_103129,Insufficient hot water or running water,94,37.791426,-122.431039
0,Routine - Unscheduled,5990_20160930_103157,Food safety certificate or food handler card not available,98,37.732292,-122.427831
Moderate Risk,Routine - Unscheduled,59153_20161020_103129,Insufficient hot water or running water,77,37.78453,-122.409392
Moderate Risk,Routine - Unscheduled,5016_20171208_103132,Improper thawing methods,88,37.795202,-122.413169
Moderate Risk,Routine - Unscheduled,62064_20160411_103119,Inadequate and inaccessible handwashing facilities,75,37.784303,-122.409647
0,Routine - Unscheduled,140_20160414_103156,Permit license or inspection report not posted,85,37.793268,-122.400323
0,Routine - Unscheduled,69351_20171207_103142,Unclean nonfood contact surfaces,85,37.784317,-122.407563
Moderate Risk,Routine - Unscheduled,18357_20161229_103124,Inadequately cleaned or sanitized food contact surfaces,86,37.799513,-122.410704
0,Routine - Unscheduled,3267_20180510_103147,Inadequate ventilation or lighting,83,37.728497,-122.475639
Moderate Risk,Routine - Unscheduled,3031_20160929_103116,Inadequate food safety knowledge or lack of certified food safety manager,82,37.789944,-122.420595
Moderate Risk,Routine - Unscheduled,65580_20160511_103118,Employee eating or smoking,86,37.794576,-122.396643
0,Routine - Unscheduled,37882_20160322_103139,Improper food storage,88,37.780087,-122.482596
0,Routine - Unscheduled,33700_20160412_103145,Improper storage of equipment utensils or linens,90,37.749194,-122.418116
High Risk,Routine - Unscheduled,5940_20170925_103114,High risk vermin infestation,93,37.801278,-122.410384
0,Routine - Unscheduled,38798_20160518_103154,Unclean or degraded floors walls or ceilings,90,37.731503,-122.45237
Moderate Risk,Routine - Unscheduled,4804_20161206_103132,Improper thawing methods,86,37.728933,-122.40413
0,Routine - Unscheduled,3253_20160413_103144,Unapproved or unmaintained equipment or utensils,88,37.711329,-122.471316
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.739154,-122.467794
0,Routine - Unscheduled,17947_20160510_103161,Low risk vermin infestation,84,37.780278,-122.482311
0,Routine - Unscheduled,58673_20160412_103145,Improper storage of equipment utensils or linens,71,37.796973,-122.408504
0,Routine - Unscheduled,1399_20160503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,98,37.755538,-122.417982
0,Routine - Unscheduled,3189_20160510_103157,Food safety certificate or food handler card not available,85,37.780439,-122.478982
High Risk,Routine - Unscheduled,3405_20171212_103109,Unclean or unsanitary food contact surfaces,85,37.788286,-122.401543
Moderate Risk,Routine - Unscheduled,60555_20160518_103120,Moderate risk food holding temperature,94,37.720894,-122.478029
0,Routine - Unscheduled,61_20180830_103150,Improper or defective plumbing,94,37.80824,-122.410189
0,Routine - Unscheduled,26340_20180514_103139,Improper food storage,85,37.797704,-122.408058
Moderate Risk,Routine - Unscheduled,1922_20161012_103119,Inadequate and inaccessible handwashing facilities,86,37.782694,-122.468969
Moderate Risk,Routine - Unscheduled,2369_20160324_103120,Moderate risk food holding temperature,86,37.750374,-122.420456
0,Routine - Unscheduled,3189_20160510_103144,Unapproved or unmaintained equipment or utensils,85,37.780439,-122.478982
Moderate Risk,Routine - Unscheduled,35855_20170105_103132,Improper thawing methods,87,37.780728,-122.396522
0,Routine - Unscheduled,4917_20160906_103142,Unclean nonfood contact surfaces,78,37.752373,-122.410876
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.789608,-122.417077
Moderate Risk,Routine - Unscheduled,2542_20171208_103116,Inadequate food safety knowledge or lack of certified food safety manager,65,37.795993,-122.423585
Moderate Risk,Routine - Unscheduled,58673_20160412_103129,Insufficient hot water or running water,71,37.796973,-122.408504
0,Routine - Unscheduled,36673_20160901_103138,Improper storage use or identification of toxic substances,79,37.786197,-122.417614
0,Routine - Unscheduled,59577_20160502_103154,Unclean or degraded floors walls or ceilings,72,37.784848,-122.406892
0,Routine - Unscheduled,4685_20161203_103144,Unapproved or unmaintained equipment or utensils,96,37.714204,-122.469193
0,Routine - Unscheduled,62064_20160411_103139,Improper food storage,75,37.784303,-122.409647
Moderate Risk,Routine - Unscheduled,64101_20180725_103120,Moderate risk food holding temperature,96,37.759173,-122.507956
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.761425,-122.427293
Moderate Risk,Routine - Unscheduled,59407_20171207_103120,Moderate risk food holding temperature,90,37.742989,-122.477662
Moderate Risk,Routine - Unscheduled,34102_20171212_103120,Moderate risk food holding temperature,88,37.71444,-122.436835
Moderate Risk,Routine - Unscheduled,3241_20160906_103120,Moderate risk food holding temperature,86,37.76344,-122.478648
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.781677,-122.417125
Moderate Risk,Routine - Unscheduled,2110_20160906_103133,Foods not protected from contamination,63,37.786143,-122.417617
High Risk,Routine - Unscheduled,59577_20160502_103102,Unclean hands or improper use of gloves,72,37.784848,-122.406892
Moderate Risk,Routine - Unscheduled,7528_20160518_103120,Moderate risk food holding temperature,92,37.808494,-122.412
High Risk,Routine - Unscheduled,4960_20160413_103103,High risk food holding temperature,71,37.753583,-122.490839
High Risk,Routine - Unscheduled,69288_20180907_103109,Unclean or unsanitary food contact surfaces,91,37.778854,-122.422237
0,Routine - Unscheduled,286_20160607_103150,Improper or defective plumbing,72,37.784303,-122.409647
High Risk,Routine - Unscheduled,5841_20160506_103114,High risk vermin infestation,91,37.763543,-122.476332
Moderate Risk,Routine - Unscheduled,36673_20160901_103124,Inadequately cleaned or sanitized food contact surfaces,79,37.786197,-122.417614
0,Routine - Unscheduled,4542_20160603_103154,Unclean or degraded floors walls or ceilings,94,37.739565,-122.467317
0,Routine - Unscheduled,10625_20170927_103157,Food safety certificate or food handler card not available,79,37.790453,-122.403994
0,Routine - Unscheduled,68831_20160325_103145,Improper storage of equipment utensils or linens,77,37.784758,-122.403837
0,Routine - Unscheduled,65672_20180226_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,94,37.790324,-122.420664
0,Routine - Unscheduled,60473_20180515_103144,Unapproved or unmaintained equipment or utensils,87,37.785503,-122.415157
0,Routine - Unscheduled,2249_20171204_103138,Improper storage use or identification of toxic substances,88,37.789552,-122.401999
0,Routine - Unscheduled,2050_20171207_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,98,37.794753,-122.418184
Moderate Risk,Routine - Unscheduled,61512_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,90,37.800414,-122.439127
0,Routine - Unscheduled,4479_20170105_103141,Improper food labeling or menu misrepresentation,92,37.767194,-122.435576
0,Routine - Unscheduled,68454_20160223_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,77,37.785639,-122.429841
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.739883,-122.466749
0,Routine - Unscheduled,2144_20171212_103154,Unclean or degraded floors walls or ceilings,92,37.788286,-122.401543
0,Routine - Unscheduled,502_20161206_103145,Improper storage of equipment utensils or linens,98,37.785614,-122.396693
0,Routine - Unscheduled,302_20160902_103139,Improper food storage,89,37.786084,-122.417889
Moderate Risk,Routine - Unscheduled,20116_20160511_103124,Inadequately cleaned or sanitized food contact surfaces,90,37.742933,-122.47745
Moderate Risk,Routine - Unscheduled,2134_20161109_103124,Inadequately cleaned or sanitized food contact surfaces,87,37.781567,-122.405059
Moderate Risk,Routine - Unscheduled,62064_20160411_103129,Insufficient hot water or running water,75,37.784303,-122.409647
Moderate Risk,Routine - Unscheduled,62308_20160203_103131,Moderate risk vermin infestation,72,37.778497,-122.415146
0,Routine - Unscheduled,6619_20170104_103139,Improper food storage,73,37.795788,-122.408834
0,Routine - Unscheduled,33700_20160412_103138,Improper storage use or identification of toxic substances,90,37.749194,-122.418116
Moderate Risk,Routine - Unscheduled,1674_20160429_103116,Inadequate food safety knowledge or lack of certified food safety manager,82,37.784317,-122.407563
Moderate Risk,Routine - Unscheduled,1350_20160518_103116,Inadequate food safety knowledge or lack of certified food safety manager,77,37.782833,-122.46615
0,Routine - Unscheduled,7779_20180508_103147,Inadequate ventilation or lighting,96,37.752922,-122.408285
0,Routine - Unscheduled,68865_20160628_103139,Improper food storage,74,37.795166,-122.405924
0,Routine - Unscheduled,62710_20160511_103144,Unapproved or unmaintained equipment or utensils,86,37.777122,-122.419639
High Risk,Routine - Unscheduled,20116_20161207_103103,High risk food holding temperature,87,37.742933,-122.47745
0,Routine - Unscheduled,3031_20160329_103157,Food safety certificate or food handler card not available,94,37.789944,-122.420595
Moderate Risk,Routine - Unscheduled,4702_20180226_103131,Moderate risk vermin infestation,96,37.751664,-122.427688
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.807923,-122.417887
0,Routine - Unscheduled,16513_20180226_103144,Unapproved or unmaintained equipment or utensils,83,37.762249,-122.413092
Moderate Risk,Routine - Unscheduled,3241_20160906_103131,Moderate risk vermin infestation,86,37.76344,-122.478648
0,Routine - Unscheduled,4920_20160810_103142,Unclean nonfood contact surfaces,96,37.749612,-122.408789
0,Routine - Unscheduled,3429_20161202_103139,Improper food storage,90,37.805758,-122.412774
0,Routine - Unscheduled,60898_20160510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,94,37.800061,-122.43602
0,Routine - Unscheduled,64380_20160414_103144,Unapproved or unmaintained equipment or utensils,86,37.793338,-122.399583
0,Routine - Unscheduled,69207_20160412_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,92,37.782078,-122.484171
High Risk,Routine - Unscheduled,5951_20160413_103103,High risk food holding temperature,91,37.712259,-122.47308
